QSPRID,ID,SMILES,all_doc_ids,pchembl_value_Mean,active,label,QSPRID,pose,active_original,Split_IsTrain
Pose_01059,ChEMBL:CHEMBL174216,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCCN4C)CC1,PMID:15771457,7.54,1.0,active,Pose_01059,Pose_01059,1.0,True
Pose_01920,ChEMBL:CHEMBL174588,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCCO4)CC1,PMID:15555631,8.383333333333333,1.0,active,Pose_01920,Pose_01920,1.0,True
Pose_00914,ChEMBL:CHEMBL175377,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1CC,PMID:15771457,8.1,1.0,active,Pose_00914,Pose_00914,1.0,True
Pose_01015,ChEMBL:CHEMBL175463,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCS4)CC1,PMID:15771457,8.7,1.0,active,Pose_01015,Pose_01015,1.0,True
Pose_02493,ChEMBL:CHEMBL175643,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1OC,PMID:15771457,7.365,1.0,active,Pose_02493,Pose_02493,1.0,True
Pose_01073,ChEMBL:CHEMBL175699,CCc1cc2cc(C(=O)CC3CCC(OC)CC3)ccc2nc1C,PMID:15771457,7.07,1.0,active,Pose_01073,Pose_01073,1.0,True
Pose_02215,ChEMBL:CHEMBL176279,CCCc1ccc2cc(C(=O)C3CCC(OC)CC3)ccc2n1,PMID:15771457,8.52,1.0,active,Pose_02215,Pose_02215,1.0,False
Pose_05107,ChEMBL:CHEMBL177043,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1I,PMID:15771457,7.21,1.0,active,Pose_05107,Pose_05107,1.0,True
Pose_01345,ChEMBL:CHEMBL177519,CCc1cc2cc(C(=O)C3COc4ccccc4O3)ccc2nc1C,PMID:15771457,8.15,1.0,active,Pose_01345,Pose_01345,1.0,True
Pose_00742,ChEMBL:CHEMBL177585,CCc1cc2cc(C(=O)C3CCC(O)CC3)ccc2nc1C,PMID:15771457,7.1,1.0,active,Pose_00742,Pose_00742,1.0,False
Pose_02726,ChEMBL:CHEMBL177586,CCc1cc2cc(C(=O)Cc3ccccc3)ccc2nc1C,PMID:15771457,7.29,1.0,active,Pose_02726,Pose_02726,1.0,False
Pose_02103,ChEMBL:CHEMBL178592,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1Cl,PMID:15771457,8.4,1.0,active,Pose_02103,Pose_02103,1.0,True
Pose_72953,ChEMBL:CHEMBL178690,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCC4)CC1,PMID:15771457,9.25,1.0,active,Pose_72953,Pose_72953,1.0,True
Pose_00416,ChEMBL:CHEMBL178741,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCCCC4)CC1,PMID:15771457,7.75,1.0,active,Pose_00416,Pose_00416,1.0,True
Pose_01469,ChEMBL:CHEMBL178742,O=C(Cc1ccsc1)c1ccc2nc3c(cc2c1)CCCO3,PMID:15771457,7.13,1.0,active,Pose_01469,Pose_01469,1.0,True
Pose_08900,ChEMBL:CHEMBL2011870;ChEMBL:CHEMBL2011871;ChEMBL:CHEMBL2011870,COc1ccc(-c2nsc(NC(=O)C3CC3C)c2C)cc1,PMID:22386665,7.502999999999999,1.0,active,Pose_08900,Pose_08900,1.0,False
Pose_16826,ChEMBL:CHEMBL2011872,Cc1c(-c2ccccc2)nsc1NC(=O)C1CC1C,PMID:22386665,7.19,1.0,active,Pose_16826,Pose_16826,1.0,False
Pose_15621,ChEMBL:CHEMBL2011873,CCOc1ccc(-c2nsc(NC(=O)C3CC3C)c2C)cc1,PMID:22386665,7.04,1.0,active,Pose_15621,Pose_15621,1.0,True
Pose_07384,ChEMBL:CHEMBL2011874,COc1ccc(-c2nsc(NC(=O)C3CC3C)c2C)cc1F,PMID:22386665,8.15,1.0,active,Pose_07384,Pose_07384,1.0,False
Pose_09090,ChEMBL:CHEMBL2011875,Cc1c(-c2ccc(F)cc2)nsc1NC(=O)C1CC1C,PMID:22386665,7.0,1.0,active,Pose_09090,Pose_09090,1.0,False
Pose_08131,ChEMBL:CHEMBL2011876,Cc1c(-c2ccc(Cl)cc2)nsc1NC(=O)C1CC1C,PMID:22386665,8.05,1.0,active,Pose_08131,Pose_08131,1.0,True
Pose_13097,ChEMBL:CHEMBL2011877,Cc1c(-c2ccc(Br)cc2)nsc1NC(=O)C1CC1C,PMID:22386665,8.15,1.0,active,Pose_13097,Pose_13097,1.0,True
Pose_14490,ChEMBL:CHEMBL2011878,Cc1c(-c2ccc(Cl)c(Cl)c2)nsc1NC(=O)C1CC1C,PMID:22386665,7.41,1.0,active,Pose_14490,Pose_14490,1.0,True
Pose_06014,ChEMBL:CHEMBL2011879,Cc1c(-c2ccc(C(C)(F)F)cc2)nsc1NC(=O)C1CC1C,PMID:22386665,7.17,1.0,active,Pose_06014,Pose_06014,1.0,True
Pose_12728,ChEMBL:CHEMBL2011880,Cc1c(-c2ccc(O)cc2)nsc1NC(=O)C1CC1C,PMID:22386665,6.86,1.0,active,Pose_12728,Pose_12728,1.0,False
Pose_00203,ChEMBL:CHEMBL2112048,CC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCCCC4)CC1,PMID:15771457,7.8,1.0,active,Pose_00203,Pose_00203,1.0,False
Pose_01506,ChEMBL:CHEMBL2112963,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1C#N,PMID:15771457,6.76,1.0,active,Pose_01506,Pose_01506,1.0,True
Pose_01603,ChEMBL:CHEMBL2112964,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1F,PMID:15771457,8.05,1.0,active,Pose_01603,Pose_01603,1.0,True
Pose_01598,ChEMBL:CHEMBL2112965,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1-c1ccsc1,PMID:15771457,6.72,1.0,active,Pose_01598,Pose_01598,1.0,True
Pose_01979,ChEMBL:CHEMBL2112967,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1N,PMID:15771457,9.0,1.0,active,Pose_01979,Pose_01979,1.0,True
Pose_00141,ChEMBL:CHEMBL223399,CN(C)c1ccnc2sc3c(=O)n(C4CCCCCCC4)cnc3c12,PMID:16279797,7.89,1.0,active,Pose_00141,Pose_00141,1.0,False
Pose_72894,ChEMBL:CHEMBL223496,Cc1ccc(-n2cnc3c(sc4nccc(N(C)C)c43)c2=O)cc1,PMID:16279797,8.3,1.0,active,Pose_72894,Pose_72894,1.0,True
