QSPRID,ID,SMILES,all_doc_ids,pchembl_value_Mean,active,label,QSPRID,pose,active_original,Split_IsTrain
Pose_83367,ChEMBL:CHEMBL1080481,COc1ccccc1C(=O)Nc1cccc(NC(=O)c2cccc(Cl)c2)c1,PMID:19875287,7.74,1.0,active,Pose_83367,Pose_83367,1.0,False
Pose_82961,ChEMBL:CHEMBL1083034,O=C(C1CCC1)N1CCCCC1c1nc(-c2cccc(Cl)c2)no1,PMID:20483612,6.69,1.0,active,Pose_82961,Pose_82961,1.0,False
Pose_88514,ChEMBL:CHEMBL118498,COc1cncc(C#Cc2ccccn2)c1,PMID:12565928,9.0,1.0,active,Pose_88514,Pose_88514,1.0,False
Pose_84089,ChEMBL:CHEMBL1257156,N#Cc1cccc(N2CCc3nc(-c4ccccn4)oc3C2)c1,PMID:20809633,6.54,1.0,active,Pose_84089,Pose_84089,1.0,True
Pose_83235,ChEMBL:CHEMBL1257273,N#Cc1cc(F)cc(N2CCc3oc(-c4ccccn4)nc3C2)c1,PMID:20809633,7.55,1.0,active,Pose_83235,Pose_83235,1.0,True
Pose_84823,ChEMBL:CHEMBL1257274,N#Cc1cc(F)cc(N2CCc3nc(-c4ccccn4)oc3C2)c1,PMID:20809633,7.27,1.0,active,Pose_84823,Pose_84823,1.0,True
Pose_83934,ChEMBL:CHEMBL1257395,N#Cc1cc(F)cc(N2CCn3cc(-c4ccccn4)nc3C2)c1,PMID:20809633,6.82,1.0,active,Pose_83934,Pose_83934,1.0,True
Pose_83406,ChEMBL:CHEMBL1257503,N#Cc1cccc(N2CC3N=C(c4ccccn4)OC3C2)c1,PMID:20809633,6.89,1.0,active,Pose_83406,Pose_83406,1.0,True
Pose_00958,ChEMBL:CHEMBL1257504,N#Cc1cccc(N2CCCc3oc(-c4ccccn4)nc3C2)c1,PMID:20809633,7.24,1.0,active,Pose_00958,Pose_00958,1.0,True
Pose_82511,ChEMBL:CHEMBL1257505,N#Cc1cc(F)cc(N2CCCc3oc(-c4ccccn4)nc3C2)c1,PMID:20809633,7.8,1.0,active,Pose_82511,Pose_82511,1.0,True
Pose_83638,ChEMBL:CHEMBL1258544,N#Cc1cccnc1N1CCc2oc(-c3ccccn3)nc2C1,PMID:20809633,6.96,1.0,active,Pose_83638,Pose_83638,1.0,True
Pose_83489,ChEMBL:CHEMBL1258893,N#Cc1cccc(N2CCc3oc(-c4ccccn4)nc3C2)c1,PMID:20809633,7.22,1.0,active,Pose_83489,Pose_83489,1.0,True
Pose_86266,ChEMBL:CHEMBL1466899,O=[N+]([O-])c1cccc(-c2nc(-c3ccccn3)no2)c1,PMID:23046966,6.63,1.0,active,Pose_86266,Pose_86266,1.0,True
